127.0.0.1 - root [25/Oct/2019:16:43:18 -0300] "GET /manager/text/start?path=/Opportunity HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:43:19 -0300] "GET /Opportunity HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:43:19 -0300] "GET /Opportunity/ HTTP/1.1" 200 5501
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:43:28 -0300] "POST /Opportunity/Login HTTP/1.1" 200 458944
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:43:28 -0300] "GET /Opportunity/img/timesheet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:43:44 -0300] "GET /GetProject?projectid=9595 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:43:48 -0300] "GET /GetProject?projectid=10542 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:43:54 -0300] "GET /GetProject?projectid=8477 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:43:59 -0300] "GET /GetProject?projectid=6623 HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:45:44 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:45:44 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:45:44 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:45:44 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:45:51 -0300] "GET /manager/text/reload?path=/Opportunity HTTP/1.1" 200 69
127.0.0.1 - - [25/Oct/2019:16:45:51 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:46:01 -0300] "POST /Opportunity/Login HTTP/1.1" 200 458974
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:46:02 -0300] "GET /Opportunity/favicon/favicon-32x32.png HTTP/1.1" 200 1884
127.0.0.1 - - [25/Oct/2019:16:47:49 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:47:49 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:47:49 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:47:49 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - - [25/Oct/2019:16:47:49 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:47:54 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:47:54 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:47:54 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:47:54 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
